,track_name,artist,duration_ms,genres,tempo,loudness,energy,danceability,key,instrumentalness,valence,emotion
57,Into The Sea,Port Blue,142173,"ambient post-rock, ambient worship",109.974,-9.382,0.654,0.66,1,0.742,0.212,calm
58,Stella,The Lost Astronaut,180500,,111.989,-23.784,0.054,0.467,0,0.928,0.0721,calm
59,Solicitude,Garden of Sound,189600,healing hz,68.926,-25.035,0.0699,0.114,3,0.935,0.0395,calm
60,Dreamt,Balmorhea,239013,"compositional ambient, melancholia, neoclassical darkwave, pastoral, post-rock",71.891,-23.736,0.152,0.235,4,0.913,0.121,calm
61,Majakka,De Moi,166956,ambient guitar,72.196,-24.796,0.0902,0.223,0,0.88,0.0278,calm
62,Secrets,Astron,175483,,185.987,-8.347,0.649,0.418,9,0.944,0.0678,calm
63,Breathing Space,Quist,153600,,137.798,-22.257,0.0964,0.269,7,0.844,0.0398,calm
64,Incomplete,Rizzolo,194000,,71.373,-27.805,0.0309,0.0962,2,0.878,0.0607,calm
65,Reveries,Dream City,122954,,131.999,-33.406,0.0129,0.414,6,0.939,0.0397,calm
66,Enamorados,EIXE,173897,,115.525,-16.374,0.233,0.314,1,0.91,0.153,calm
67,Mystery of Time,Dopplar,153000,,69.662,-17.596,0.222,0.133,0,0.592,0.0374,calm
68,Dancing In,La Dormilona,188499,,104.995,-24.844,0.0933,0.551,0,0.827,0.052,calm
69,The Sign of Wilderness,Tenant Rights,219568,,169.939,-27.693,0.00185,0.0783,2,0.95,0.0369,calm
70,Glow,Szymon Kowalczyk,145714,,74.371,-24.55,0.104,0.227,9,0.891,0.037,calm
71,Polar Descent,Vintervik,146250,,134.754,-24.363,0.112,0.26,0,0.844,0.107,calm
72,Quietud,Holographic Seawaves,179916,,90.072,-23.263,0.0903,0.301,9,0.896,0.0748,calm
73,Lotus Blume,Altered Source,192585,"binaural, healing hz",119.974,-30.788,0.00847,0.289,2,0.914,0.118,calm
74,Atlantis,Hugleiösla,258734,,110.346,-23.535,0.312,0.163,8,0.882,0.248,calm
75,Albatross,Andrew Smithson,146494,,155.864,-20.897,0.151,0.232,1,0.909,0.0558,calm
76,Summarizing Sunrises,Don Salfva,229400,,75.12,-24.774,0.0951,0.0771,9,0.964,0.0352,calm
77,Sleep Spirits,chillchild,160000,"background music, binaural",119.834,-20.891,0.06,0.268,8,0.694,0.352,calm
78,I Cross the River,By Lotus,212649,,157.922,-23.336,0.139,0.363,2,0.883,0.0491,calm
79,Dormio,Estado De Calma,159440,background music,66.548,-25.212,0.133,0.162,9,0.707,0.0658,calm
80,Peaceful Mind,Karbona,184285,,74.242,-28.236,0.085,0.119,4,0.795,0.061,calm
81,Remeber,Noble S,192156,,68.114,-27.888,0.0483,0.0678,8,0.978,0.0397,calm
82,Who Tends a Garden,Alaskan Tapes,280625,pastoral,129.855,-24.877,0.22,0.187,4,0.908,0.0899,calm
83,Glaciers,Night Sounds,184186,background music,171.95,-15.797,0.461,0.429,7,0.878,0.0958,calm
84,Passing By,Sulfur Springs,219375,,64.043,-20.65,0.172,0.43,4,0.887,0.0369,calm
85,Forgotten Echoes,Elton Baptiste,165000,lo-fi sleep,119.877,-33.741,0.0326,0.173,10,0.926,0.325,calm
86,A Brief Walk in the Sea,Near The Parenthesis,424866,"ambient idm, ambient post-rock",191.214,-12.5,0.58,0.157,0,0.925,0.183,calm
87,Rêves,Ignace Lamar,198315,,94.818,-27.941,0.0554,0.233,0,0.954,0.0378,calm
88,Conception,Sunstone Peaks,178250,,72.06,-26.965,0.103,0.436,9,0.824,0.0481,calm
89,Far Fetched Sleep,Millie S,189795,,76.73,-23.424,0.139,0.183,5,0.777,0.0794,calm
90,Awa To Koi,Rhucle,177230,"dreampunk, drift, j-ambient",122.811,-29.143,0.0128,0.187,4,0.942,0.0451,calm
91,Flight to Polaris,Hindrick,151574,,72.723,-36.049,0.0291,0.231,3,0.964,0.1,calm
92,Tired Eyes,Still Dreams,252000,,70.03,-27.64,0.0573,0.183,4,0.963,0.0377,calm
93,Gratefulness,Deltachromatique,153372,"binaural, healing hz",139.461,-26.129,0.212,0.153,4,0.885,0.165,calm
94,Slow Wave,Cosmic Nuit,232500,,80.03,-26.612,0.145,0.299,11,0.927,0.165,calm
95,Focus Within,Bernardo Fuches,157500,,68.73,-31.377,0.00541,0.176,9,0.848,0.081,calm
96,Bring in the Sun,Seeking Balance,240000,color noise,130.01,-28.284,0.131,0.515,3,0.861,0.124,calm
97,The Beach - Beatless,Blank & Jones,241881,"chill lounge, german techno, trance",84.279,-15.896,0.244,0.157,7,0.934,0.0353,calm
98,A Rising Wind (Instrumental),Helios,289512,"compositional ambient, instrumental post-rock, space ambient",170.004,-13.888,0.36,0.482,1,0.921,0.0417,calm
99,Bordeaux Moon,Julie G.,176804,,75.33,-27.953,0.0695,0.0971,5,0.944,0.0371,calm
100,Dalam Masa Ini,Waneesa,134784,,69.152,-31.239,0.0436,0.213,2,0.841,0.118,calm
101,Astrolabe,Zilliondust,151500,,65.673,-31.613,0.0467,0.0646,0,0.917,0.0343,calm
102,Proceed,Corre,255000,,121.99,-21.57,0.244,0.512,3,0.783,0.0313,calm
103,Sea of Light,Allycia Xavier,170500,,73.666,-22.549,0.204,0.14,2,0.76,0.073,calm
104,The Subtle Ninth,Nordic Summit,150000,,142.621,-35.296,0.0057,0.135,9,0.862,0.0374,calm
105,Waves of Serenity - 174 Hz,Fikret Glep,138260,,138.705,-27.687,0.0854,0.167,10,0.805,0.0299,calm
106,Celestial,Threedust,181818,chill beats,93.924,-34.71,0.00496,0.118,1,0.892,0.0324,calm
107,Mythos,Carufo,157241,sleep,141.863,-30.004,0.013,0.142,5,0.918,0.0478,calm
108,Kanta's Theme,Chris Walla,402893,,77.021,-21.819,0.0617,0.288,2,0.899,0.0373,calm
109,Ancestral Twilight,RE:LX,196923,,78.118,-28.15,0.143,0.304,11,0.892,0.119,calm
110,Dunes,Dust Merchant,136000,,72.532,-27.769,0.0275,0.158,7,0.936,0.0476,calm
111,Reversoothes,Selma Moore,187000,,66.62,-28.384,0.0249,0.223,7,0.943,0.0378,calm
112,sapphire soul,nite sky,167000,"color noise, healing hz, sleep",126.53,-35.096,0.076,0.168,5,0.923,0.423,calm
113,Mission at Beccles,underwaters,196000,,117.74,-26.066,0.0161,0.336,1,0.925,0.0388,calm
114,Response,Corre,189230,,140.015,-25.7,0.19,0.587,5,0.902,0.277,calm
115,Split Second,Alice Charkha,153000,,79.139,-28.998,0.0403,0.136,5,0.85,0.075,calm
116,inflight view,Lukas Klika,220717,,119.873,-26.425,0.0621,0.379,6,0.887,0.0672,calm
117,We Belong To The Stars,Castillo Indigo,189458,,136.915,-31.568,0.00384,0.19,11,0.943,0.0846,calm
118,Liberation,Deep Vibrations,196000,,63.197,-33.882,0.0322,0.185,5,0.809,0.0442,calm
119,High Flyer,Sola Slavic,187240,,124.664,-26.771,0.0589,0.215,5,0.946,0.0381,calm
